algorithm,initial_steps,final_steps,total_reward,average_reward,average_loss,num_episodes,max_steps
DDDQL,3640000,3650000,149905,14.99,4.9134,80,256
DDDQL,3650000,3660000,163281,16.33,4.9125,86,272
DDDQL,3660000,3670000,142766,14.28,4.8988,78,377
DDDQL,3670000,3680000,141992,14.2,5.0402,78,393
DDDQL,3680000,3690000,141864,14.19,5.1157,78,276
DDDQL,3690000,3700000,160810,16.08,4.9209,84,220
DDDQL,3700000,3710000,160129,16.01,5.1583,85,201
DDDQL,3710000,3720000,158166,15.82,5.1359,82,234
DDDQL,3720000,3730000,152246,15.22,5.0127,81,269
DDDQL,3730000,3740000,156587,15.66,4.7868,83,216
DDDQL,3740000,3750000,165974,16.6,4.892,88,209
